ProductCode,StationNumber,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,66062,1950,25.8,24.4,24.6,22.2,19.1,16.8,16.6,17.6,21.7,21.3,22,24.8,21.4
IDCJAC0002,66062,1951,23.9,25.4,25.8,21.9,20,17.3,17.1,17.4,21,22.4,24.1,24.8,21.8
IDCJAC0002,66062,1952,26.7,24.7,25.2,22.3,18.8,18,16.4,17.5,20.7,21.5,22.7,23.6,21.5
IDCJAC0002,66062,1953,24.1,24.2,24.4,24.2,20,17.2,17.2,17.8,20.2,20.6,24.3,26.4,21.7
IDCJAC0002,66062,1954,24.3,26,25.3,23.8,19.2,17.4,17.1,18.6,18,21.6,24.4,24.2,21.7
IDCJAC0002,66062,1955,25.8,25.5,25.3,22.7,19.2,16.6,16.4,18.9,20.1,22.9,24.3,23.6,21.8
IDCJAC0002,66062,1956,25.1,25.3,24.9,23.9,19.4,17.1,16.6,17.5,18.1,21.4,23.8,26,21.6
IDCJAC0002,66062,1957,24.1,24,24.1,23.5,21.1,20.3,15.7,17.3,19.6,22.4,26,27.4,22.1
IDCJAC0002,66062,1958,24.6,26.3,26.3,23.1,22.7,17.8,16.9,18.5,18.5,22.7,25.2,24,22.2
IDCJAC0002,66062,1959,25.5,26.2,25.3,23,19.4,17.8,17.3,18.5,19.9,20,23.9,25.2,21.8
IDCJAC0002,66062,1960,28.3,25.5,24.5,23.7,19.1,16.2,17.5,17.5,19.5,22.2,22.7,22.8,21.6
IDCJAC0002,66062,1961,25.5,25.7,25.6,22.7,19.4,17.6,16.7,17.1,19.7,23.3,23.1,24.7,21.8
IDCJAC0002,66062,1962,25.1,26.4,25.3,22.5,19.2,19.1,17.7,17.7,20.5,21.9,24.1,23.6,21.9
IDCJAC0002,66062,1963,25.9,26.7,24.6,23,20,17,16.5,17.1,20.3,21.3,22.2,25.5,21.7
IDCJAC0002,66062,1964,27.6,25.7,25.1,22.5,20.1,18.1,17.7,18.9,21.2,21.4,24.2,25.4,22.3
IDCJAC0002,66062,1965,23.2,25.6,26.2,22.1,21.3,18.5,16.8,18.6,21.8,22.7,23.8,24.3,22.1
IDCJAC0002,66062,1966,25.4,25.3,24.6,23.3,20.1,17.9,16.6,17.3,19.3,20.7,24.6,24.5,21.6
IDCJAC0002,66062,1967,26.7,24.9,24,23.1,20.1,17.8,17.2,17.4,19.6,21.5,24.2,24.2,21.7
IDCJAC0002,66062,1968,25.6,26.9,26.7,25.3,19.8,16.9,16.2,18.8,20.5,24.2,26,23.7,22.6
IDCJAC0002,66062,1969,27.4,25.5,25.3,24.4,19.7,17.4,18,19.1,18.3,20.8,22.9,26.3,22.1
IDCJAC0002,66062,1970,26.3,26.3,24.7,23.6,18.5,18.1,18.1,17.9,18.6,23.5,22.3,25.8,22
IDCJAC0002,66062,1971,25.2,26.4,25.2,23.4,20.1,17.1,15.9,18.3,20.5,24.2,22.2,24.4,21.9
IDCJAC0002,66062,1972,24.5,25.7,24.1,22.5,19.1,17.6,17.5,18.8,21.5,20.9,23,27.2,21.9
IDCJAC0002,66062,1973,26.7,26.3,25.3,24.3,21.6,17.3,18,18.1,21.6,22.5,24.5,25.9,22.7
IDCJAC0002,66062,1974,25.5,25.6,25.2,23.4,20.2,17.4,17.5,17.6,19.4,20.9,22.1,25.3,21.7
IDCJAC0002,66062,1975,26.2,25.9,25.5,22.1,21,17.7,19,18.2,20.7,22,25,26.2,22.5
IDCJAC0002,66062,1976,25,26,25.2,23.2,21.3,18.4,17.4,18.3,19,20.7,23.3,27.7,22.1
IDCJAC0002,66062,1977,27.2,26.2,26.2,24.2,20.2,17.1,16.9,19.6,18.8,24.2,24.4,27.1,22.7
IDCJAC0002,66062,1978,26.2,28.4,25.7,22.9,20.7,16.7,16.6,17.1,18.9,21.5,22.8,23.9,21.8
IDCJAC0002,66062,1979,26.9,27.2,24.9,22.9,18.9,18.4,17.5,18,19.9,22,24.1,27.9,22.4
IDCJAC0002,66062,1980,26.9,26.9,26.3,23.8,20.7,17.9,16.7,20.2,23.3,22.4,25.1,26.3,23
IDCJAC0002,66062,1981,26.3,26,25.3,24,20.1,17.2,17,17.6,22.1,22.6,22.1,25.4,22.1
IDCJAC0002,66062,1982,26.4,26.7,24.7,23.2,21.5,16.7,15.8,20,20,21.3,24.8,25.2,22.2
IDCJAC0002,66062,1983,26.6,27.7,26.6,21.1,20.5,16.9,16.7,18.1,21.8,21.3,23.7,25,22.2
IDCJAC0002,66062,1984,25.6,26.8,24,22.8,19.9,18.3,16.1,18.9,19.7,22,24.6,25.3,22
IDCJAC0002,66062,1985,26.8,24.4,25.6,22.5,19.9,17.7,17,17.7,19.7,21.6,23.5,27.4,22
IDCJAC0002,66062,1986,25.9,26.2,25.5,24.8,20.8,18,17.3,17.9,20.9,22.4,21.8,24.7,22.2
IDCJAC0002,66062,1987,27,26.9,24.2,22.9,20.5,18.2,16.9,18.7,21.4,21.4,24.6,24.3,22.2
IDCJAC0002,66062,1988,26.8,25.7,25,22.5,20.9,18.5,18.7,19.3,21.8,26.2,23.4,25.4,22.8
IDCJAC0002,66062,1989,25.4,26.3,25.2,23.1,20.5,16.7,16.3,17.3,20.9,24.2,23.6,25.3,22.1
IDCJAC0002,66062,1990,25.5,25.4,25.3,23.1,21.3,17.4,17.3,17.5,19.4,21.9,24.5,28.6,22.3
IDCJAC0002,66062,1991,29.1,28.2,25.6,23.1,20,19.5,17,18.8,21.5,23.7,23.4,24.2,22.8
IDCJAC0002,66062,1992,25.3,25,25.4,22.5,19.7,17.3,17.8,18.1,19.7,21.1,22.3,24,21.5
IDCJAC0002,66062,1993,26.5,27.3,24.7,23.6,20.3,17.3,17.6,18.9,19.8,22.3,23.2,25.7,22.3
IDCJAC0002,66062,1994,28.2,26.3,23.5,23.2,21.2,18.1,18,18.7,21.7,22.3,24.6,24.9,22.6
IDCJAC0002,66062,1995,24.8,25.1,25.1,22,20.2,17.5,16.8,21.3,19.3,21.9,24.2,23.7,21.8
IDCJAC0002,66062,1996,25.4,25.2,24.6,23.6,21,18.3,17.2,18.9,21.7,22.1,23.4,24.4,22.1
IDCJAC0002,66062,1997,24.1,26.3,25.7,24.4,20.1,18,16.7,18.7,19.4,22.9,25.5,26.8,22.4
IDCJAC0002,66062,1998,27.6,29,27,23.4,20.1,17.6,16.2,18.1,22.1,23.6,21.7,25.7,22.7
IDCJAC0002,66062,1999,26.6,26.1,25.7,21.7,20.9,17.8,17.7,18.8,21.2,22.8,22.3,23.6,22.1
IDCJAC0002,66062,2000,24.8,27.5,25.3,23.4,20.4,17.6,18.3,18.8,22.7,22.9,23.6,27.6,22.7
IDCJAC0002,66062,2001,27.3,27.3,25.8,24,19.9,19.9,17.5,19.5,22.3,24,23.5,26.2,23.1
IDCJAC0002,66062,2002,27.2,25.2,25.7,24.3,20.1,18.1,18.5,19.6,22.7,24.5,25.3,25.4,23.1
IDCJAC0002,66062,2003,27.2,27.1,25.2,22.7,20.6,19.6,17.8,19.1,22.6,21.6,22.7,26,22.7
IDCJAC0002,66062,2004,27.6,28.1,26.1,24.2,21.3,19.9,18,19.7,21.8,23.3,25.4,25.6,23.4
IDCJAC0002,66062,2005,26.6,27.4,24.3,25.1,21.2,19.2,19,20,21,24.3,23.9,28.6,23.4
IDCJAC0002,66062,2006,27,27.8,27.1,24.6,20.6,17,17.9,19.8,23.1,24.2,24.3,24.2,23.1
IDCJAC0002,66062,2007,26.4,26,26.3,23,22.4,16.8,17.1,19.9,20.9,25,23.5,24.7,22.7
IDCJAC0002,66062,2008,26,24.8,25.1,21.5,20.5,18.6,17.2,17.3,21.4,23.2,23.7,25.9,22.1
IDCJAC0002,66062,2009,27.6,25.7,25.4,22.8,20.7,17.9,18.3,20.9,23.1,21.4,26.1,25.4,22.9
IDCJAC0002,66062,2010,27.6,27.4,25.7,24.6,20.6,17.7,17.1,18.3,21,22,23.5,25.8,22.6
IDCJAC0002,66062,2011,27.4,28.4,26,22.7,19.5,18,17.4,19.8,21.7,22.2,25.2,23.1,22.6
IDCJAC0002,66062,2012,26.1,25.8,24.7,23.6,20.9,17.7,17.6,19.9,22.5,23.3,24.1,26,22.7
IDCJAC0002,66062,2013,27.6,26.2,26.4,24,21.3,18.1,19.5,21.1,24.4,25.7,24,26.4,23.7
IDCJAC0002,66062,2014,26.9,26.2,26.4,23.8,23.2,19.6,19,18.3,21.9,24.7,25.8,25.8,23.5
IDCJAC0002,66062,2015,27.5,27,26.8,22.7,20.7,18.6,17.4,19.4,20.7,24.9,26.2,26.1,23.2
IDCJAC0002,66062,2016,27.4,28.2,26.8,24.7,22.9,19,18.5,19.1,21.4,23.9,26.1,28.1,23.8
IDCJAC0002,66062,2017,29.6,28.5,25.6,23.8,21.2,18.2,19.1,19.5,23.3,24,23.8,27.8,23.7
IDCJAC0002,66062,2018,27.8,27.2,26.8,26.1,21.7,17.8,19.9,19.2,20.9,21.5,24.8,26.8,23.4
IDCJAC0002,66062,2019,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
